109
3,9,36
3,9,39
3,9,45
3,9,51
3,9,52
3,10
3,11
3,12
3,13
3,14
3,15
3,16
3,17
3,18
3,19
3,20
3,21
3,22
3,23
3,24
3,25
3,26
3,27
3,28
3,29
3,35
3,40
3,46
3,50
4,9,10,32
4,9,10,33
4,9,10,34
4,9,10,39
4,9,10,43
4,9,10,44
4,9,10,56
4,9,10,57
4,9,10,58
4,9,10,59
4,9,10,60
4,9,11,32
4,9,11,33
4,9,11,34
4,9,11,39
4,9,11,43
4,9,11,44
4,9,11,56
4,9,11,57
4,9,11,58
4,9,11,59
4,9,11,60
4,9,12,32
4,9,12,33
4,9,12,34
4,9,12,39
4,9,12,43
4,9,12,44
4,9,12,56
4,9,12,57
4,9,12,58
4,9,12,59
4,9,12,60
4,9,13,32
4,9,13,33
4,9,13,34
4,9,13,39
4,9,13,43
4,9,13,44
4,9,13,56
4,9,13,57
4,9,13,58
4,9,13,59
4,9,13,60
4,9,14,32
4,9,14,33
4,9,14,34
4,9,14,39
4,9,14,43
4,9,14,44
4,9,14,56
4,9,14,57
4,9,14,58
4,9,14,59
4,9,14,60
4,9,15,32
4,9,15,33
4,9,15,34
4,9,15,39
4,9,15,43
4,9,15,44
4,9,15,56
4,9,15,57
4,9,15,58
4,9,15,59
4,9,15,60
4,9,16,32
4,9,16,33
4,9,16,34
4,9,16,39
4,9,16,43
4,9,16,44
4,9,16,56
4,9,16,57
4,9,16,58
4,9,16,59
4,9,16,60
4,9,17,32
4,9,17,33
4,9,17,34
4,9,17,39
4,9,17,43
4,9,17,44
4,9,17,56
4,9,17,57
4,9,17,58
4,9,17,59
4,9,17,60
4,9,18,32
4,9,18,33
4,9,18,34
4,9,18,39
4,9,18,43
4,9,18,44
4,9,18,56
4,9,18,57
4,9,18,58
4,9,18,59
4,9,18,60
4,9,19,32
4,9,19,33
4,9,19,34
4,9,19,39
4,9,19,43
4,9,19,44
4,9,19,56
4,9,19,57
4,9,19,58
4,9,19,59
4,9,19,60
4,9,20,32
4,9,20,33
4,9,20,34
4,9,20,39
4,9,20,43
4,9,20,44
4,9,20,56
4,9,20,57
4,9,20,58
4,9,20,59
4,9,20,60
4,9,21,32
4,9,21,33
4,9,21,34
4,9,21,39
4,9,21,43
4,9,21,44
4,9,21,56
4,9,21,57
4,9,21,58
4,9,21,59
4,9,21,60
4,9,22,32
4,9,22,33
4,9,22,34
4,9,22,39
4,9,22,43
4,9,22,44
4,9,22,56
4,9,22,57
4,9,22,58
4,9,22,59
4,9,22,60
4,9,23,32
4,9,23,33
4,9,23,34
4,9,23,39
4,9,23,43
4,9,23,44
4,9,23,56
4,9,23,57
4,9,23,58
4,9,23,59
4,9,23,60
4,9,24,32
4,9,24,33
4,9,24,34
4,9,24,39
4,9,24,43
4,9,24,44
4,9,24,56
4,9,24,57
4,9,24,58
4,9,24,59
4,9,24,60
4,9,25,32
4,9,25,33
4,9,25,34
4,9,25,39
4,9,25,43
4,9,25,44
4,9,25,56
4,9,25,57
4,9,25,58
4,9,25,59
4,9,25,60
4,9,26,32
4,9,26,33
4,9,26,34
4,9,26,39
4,9,26,43
4,9,26,44
4,9,26,56
4,9,26,57
4,9,26,58
4,9,26,59
4,9,26,60
4,9,27,32
4,9,27,33
4,9,27,34
4,9,27,39
4,9,27,43
4,9,27,44
4,9,27,56
4,9,27,57
4,9,27,58
4,9,27,59
4,9,27,60
4,9,28,32
4,9,28,33
4,9,28,34
4,9,28,39
4,9,28,43
4,9,28,44
4,9,28,56
4,9,28,57
4,9,28,58
4,9,28,59
4,9,28,60
4,9,29,32
4,9,29,33
4,9,29,34
4,9,29,43
4,9,29,44
4,9,29,56
4,9,29,57
4,9,29,58
4,9,29,59
4,9,29,60
4,9,32,35
4,9,32,39
4,9,32,40
4,9,32,46
4,9,32,50
4,9,33,35
4,9,33,39
4,9,33,40
4,9,33,46
4,9,33,50
4,9,34,35
4,9,34,39
4,9,34,40
4,9,34,46
4,9,34,50
4,9,35,43
4,9,35,44
4,9,35,56
4,9,35,57
4,9,35,58
4,9,35,59
4,9,35,60
4,9,36
4,9,39,40
4,9,39,43
4,9,39,44
4,9,39,46
4,9,39,50
4,9,39,54
4,9,39,55
4,9,39,56
4,9,39,57
4,9,39,58
4,9,39,59
4,9,39,60
4,9,40,43
4,9,40,44
4,9,40,56
4,9,40,57
4,9,40,58
4,9,40,59
4,9,40,60
4,9,43,46
4,9,43,50
4,9,44,46
4,9,44,50
4,9,45
4,9,46,56
4,9,46,57
4,9,46,58
4,9,46,59
4,9,46,60
4,9,50,56
4,9,50,57
4,9,50,58
4,9,50,59
4,9,50,60
4,9,51
4,9,52
4,10,30,45
4,10,31,45
4,10,32,38
4,10,32,41
4,10,32,42
4,10,32,43,52
4,10,34,38
4,10,34,41
4,10,34,42
4,10,34,43,52
4,10,36,39
4,10,36,45
4,10,39,52
4,10,41,52
4,10,42,52
4,10,45,52
4,10,51
4,11,30,45
4,11,31,45
4,11,32,38
4,11,32,41
4,11,32,42
4,11,32,43,52
4,11,34,38
4,11,34,41
4,11,34,42
4,11,34,43,52
4,11,36,39
4,11,36,45
4,11,39,52
4,11,41,52
4,11,42,52
4,11,45,52
4,11,51
4,12,30,45
4,12,31,45
4,12,32,38
4,12,32,41
4,12,32,42
4,12,32,43,52
4,12,34,38
4,12,34,41
4,12,34,42
4,12,34,43,52
4,12,36,39
4,12,36,45
4,12,39,52
4,12,41,52
4,12,42,52
4,12,45,52
4,12,51
4,13,30,45
4,13,31,45
4,13,32,38
4,13,32,41
4,13,32,42
4,13,32,43,52
4,13,34,38
4,13,34,41
4,13,34,42
4,13,34,43,52
4,13,36,39
4,13,36,45
4,13,39,52
4,13,41,52
4,13,42,52
4,13,45,52
4,13,51
4,14,30,45
4,14,31,45
4,14,32,38
4,14,32,41
4,14,32,42
4,14,32,43,52
4,14,34,38
4,14,34,41
4,14,34,42
4,14,34,43,52
4,14,36,39
4,14,36,45
4,14,39,52
4,14,41,52
4,14,42,52
4,14,45,52
4,14,51
4,15,30,45
4,15,31,45
4,15,32,38
4,15,32,41
4,15,32,42
4,15,32,43,52
4,15,34,38
4,15,34,41
4,15,34,42
4,15,34,43,52
4,15,36,39
4,15,36,45
4,15,39,52
4,15,41,52
4,15,42,52
4,15,45,52
4,15,51
4,16,30,45
4,16,31,45
4,16,32,38
4,16,32,41
4,16,32,42
4,16,32,43,52
4,16,34,38
4,16,34,41
4,16,34,42
4,16,34,43,52
4,16,36,39
4,16,36,45
4,16,39,52
4,16,41,52
4,16,42,52
4,16,45,52
4,16,51
4,17,30,45
4,17,31,45
4,17,32,38
4,17,32,41
4,17,32,42
4,17,32,43,52
4,17,34,38
4,17,34,41
4,17,34,42
4,17,34,43,52
4,17,36,39
4,17,36,45
4,17,39,52
4,17,41,52
4,17,42,52
4,17,45,52
4,17,51
4,18,30,45
4,18,31,45
4,18,32,38
4,18,32,41
4,18,32,42
4,18,32,43,52
4,18,34,38
4,18,34,41
4,18,34,42
4,18,34,43,52
4,18,36,39
4,18,36,45
